Publisher,Dataset Count
"ศูนย์วิจัยการเปลี่ยนแปลงภูมิอากาศระดับภูมิภาคและพลังงานทดแทน มหาวิทยาลัยรามคำแหง (Ramkhamhaeng University Center of Regional Climate Change and Renewable Energy, RU-CORE) ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ​ 10240",2
"Logistics and Supply Chain Management, Graduate School, Chulalongkorn University, Bangkok, 10330",2
เกษตรกรศูนย์เรียนรู้เศรษฐกิจพอเพียง ชุมชนบ้านสารภี จ.สมุทรสงคราม,2
เกษตรกรต.ห้วยโพธิ์ อ.เมือง จ.กาฬสินธุ์,2
เกษตรกรผู้เลี้ยงกุ้งล็อบสเตอร์ฟาร์มลุงหิน บ้านเลขที่ 105/1 หมู่ 8 บ้านโนนสะอาด ต.ดงมูลเหล็ก อ.เมือง จ.เพชรบูรณ์,2
บ้านร่องบง ต.โยนก อ.เชียงแสน จ.เชียงราย,2
เกษตรกรผู้เลี้ยงหมูหลุม บ้านหนองอ้อน้อย หมู่ 7 ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น,2
"ศูนย์วิจัยและพัฒนาการเพาะเลี้ยงสัตว์น้ำจืด เขต 12 (สงขลา), คณะวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานี",2
คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,2
เกษตรกรบ้านวังม่วง ต.ธารปราสาท อ.โนนสูง จ.นครราชสีมา,2
ภาควิชาวิทยาศาสตร์สิ่งแวดล้อม คณะวิทยาศาสตร์ มหาวิทยาลัยศิลปากร,2
สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยี  มหาวิทยาลัยเชียงใหม่,2
วิทยาลัยการแพทย์แผนไทย  มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,2
คณะวิศวกรรมศาสตร์  มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรรณภูมิ,2
คณะเกษตรศาสตร์ ทรัพยากรธรรมชาติและสิ่งแวดล้อม,2
สถาบันนวัตกรรมการเรียน มหาวิทยาลัยมหิดล,2
สำนักความสัมพันธ์ต่างประเทศ สำนักงานปลัดกระทรวงศึกษาธิการ,2
อำเภอห้วยแถลง จังหวัดนครราชสีมา,2
ไร่ภู อ่าวน้อย จ.ประจวบคีรีขันธ์,2
บ้านจังเอิญโค หมู่ที่ 2 ต.ตาอ็อง อ.เมือง จ.สุรินทร์,2
ศูนย์เรียนรู้เศรษฐกิจพอเพียง หมู่ 6 บ้านโคกกลาง ต.จุมจัง อ.กุฉินารายณ์ จ.กาฬสินธุ์,2
ศูนย์เรียนรู้มหาวิทยาลัยชีวิต จังหวัดอุทัยธานี,2
อ. บ้านหมอ จ. สระบุรี,2
บ้านสวนเกษตรน้ำเพชร ต.หนองบัวแก้ว อ.พยัคฆภูมิพิสัย จ.มหาสารคาม,2
"ZENSE Entertainment Co.,Ltd",2
"Thaiware Communication Co.,Ltd.",2
ภาควิชาชีวเคมี คณะแพทย์ศาสตร์ มหาวิทยาลัยเชียงใหม่,2
รักบ้านเกิด,2
MOCA BANGKOK,2
บ้านสวนแพรฟาร์มเลขที่ 253 ม.10 ต.แม่แฝก อ.สันทราย จ.เชียงใหม่,2
เกษตรกร Young Smart Farmer จ.ตรัง,2
โรงเรียนอัสสัมชัญคอนแวนต์,2
"ภาควิชาชีววิทยา คณะวิทยาศาสตร์ ม.มหาสารคาม, ม.ราชภัฎเลย",2
สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย (วว.),2
ปราชญ์ชาวบ้านมูลนิธิชัยพัฒนา ไร่อธิศพัฒน์ เกษตรอินทรีย์ท่าลี่ไทยแลนด์ ต.ท่าลี่ อ.ท่าลี่ จ.เลย,2
"สถาบันโภชนาการ ม.มหิดล, มูลนิธิทันตนวัตกรรม ในพระบรมราชูปถัมภ์",2
คณะเทคโนโลยีสื่อสารมวลชน ม.เทคโนโลยีราชมงคลธัญบุรี,2
เครือข่ายจังหวัดยโสธร,2
วิทยาลัยเกษตรและเทคโนโลยีสระแก้ว,2
วิทยาลัยเกษตรและเทคโนโลยีแพร่,2
คณะสัตวแพทยศาสตร์  มหาวิทยลัยมหิดล,2
เขตรักษาพันธุ์สัตว์ป่าโตนงาช้าง ส่วนอนุรักษ์สัตว์ป่า สบอ.6 (สงขลา),2
239 อาคาร 40 ปี คณะวิทยาศาสตร์มหาวิทยาลัยเชียงใหม่ ถนนห้วยแก้ว ตำบลสุเทพ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50200 ติดต่อ 088-2521550 โทรสาร 053-943322,2
คณะแพทยศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ,2
คณะวิศวกรรมศาสตร์ มหาวิทยาลัยบูรพา,2
คณะเภสัชศาสตร์ มหาวิทยาลัยอีสเทิร์นเอเชีย,2
คณะวิทยาศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ ร่วมกับ คณะวิทยาศาสตร์ มหาวิทยาลัยเชียงใหม่,2
คณะวิทยาศาสตร์ มหาวิทยาลัยเชียงใหม่ ร่วมกับ คณะวิทยาศาสตร์ มหาวิทยาลัยแม่ฟ้าหลวง,2
คณะสัตวแพทยศาสตร์​ มหาวิทยาลัยเกษตรศาสตร์,2
มหาวิทยาลัยชินวัตร,2
เกษตรกรเจ้าของสวนปรีชา อ.บ่อพลอย จ.กาญจนบุรี,2
"Museum of Anthropology, University of Michigan",2
บ้านรักษ์ดิน จังหวัดกาญจนบุรี,2
สำนักการระบายน้ำ กรุงเทพมหานคร,2
โรงเรียนอนุบาลแม่ฟ้าหลวง,2
โรงเรียนโพธิธรรมสุวัฒน์,2
โรงเรียนโพธิธรรมสุวัฒน์ จ.พิจิตร,2
โรงเรียนสายน้ำผึ้งในพระอุปถัมภ์ฯ,2
โรงเรียนตากพิทยาคม จังหวัดตาก,2
โรงเรียนอยุธยาวิทยาลัย,2
คณะบริหารธุรกิจ มหาวิทยาลัยหาดใหญ่,2
วิทยาลัยการอาชีพวังไกลกังวล 2,2
คณะเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล            The Pensylvania State University,2
วิทยาลัยพลังงานทดแทน มหาวิทยาลัยนเรศวร,2
ภาควิชาสัตวบาล คณะเกษตร กำแพงแสน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,2
Misterherb สมุนไพรไทยบ้าน,2
lnwHealth,2
วิทยาลัยวิทยาการวิจัยและวิทยาการปัญญา  มหาวิทยาลัยบูรพา,2
รพ.เปาโล รังสิต,2
เกษตรกร อ.แม่ริม จ.เชียงใหม่,2
ศูนย์วิจัยพืชสวนศรีสะเกษ,2
เกษตรกร ต.นาเลิง อ.ม่วงสามสิบ จ.อุบลราชธานี,2
ศูนย์วิจัยและพัฒนาการเกษตรสุโขทัย,2
อ.สุวรรณภูมิ จ.ร้อยเอ็ด,2
บ้านเลขที่ 83 หมู่ที่ 5 ตำบลคลองหาด อำเภอคลองหาด จังหวัดสระแก้ว,2
ศูนยเรียนรูการเพิ่มประสิทธิภาพการผลิตสินคาเกษตร (ศพก.) อําเภอวังชิ้น จังหวัดแพร่,2
บ้านห้วยองคต ตำบลสมเด็จเจริญ อำเภอหนองปรือ จ.กาญจนบุรี,2
เลขที่ 20/1 หมู่ที่ 6 ตำบลพวกรวม อำเภอเมือง จังหวัดสิงห์บุรี,2
ศูนย์เรียนรู้เศรษฐกิจพอเพียงบ้านสวนครูเลอทัยรีสอร์ท หมู่ 8 ต.ละทาย อ.กันทรารมย์ จ.ศรีสะเกษ,2
หมู่.8 ตำบลทุ่งนุ้ย อำเภอควนกาหลง จังหวัสตูล,2
บ้านหมู่ที่ 11 ตำบลนครป่าหมาก อำเภอบางกระทุ่ม จังหวัดพิษณุโลก,2
บ้านภูจำปา อำเภอเมือง จังหวัดอำนาจเจริญ,2
สวนเพชรพิมาย ต.ลังกาใหญ่ อ.พิมาย จ.นครราชสีมา,2
บ้านเด่นเจริญ ต.แม่หล่าย อ.เมือง จ.แพร่,2
ตำบลบางรูป อำเภอทุ่งใหญ่ จังหวัดนครศรีธรรมราช,2
ศูนย์กสิกรรมไร้สารพิษอันเนื่องมาจากพระราชดำริ อ.วังน้ำเขียว จ.นครราชสีมา,2
"Faculty of Medical Science, Naresuan University",2
สาขาพิษวิทยาสิ่งแวดล้อม  สถาบันบัณฑิตศึกษาจุฬาภรณ์,2
คณะสิ่งแวดล้อมและทรัพยากรศาสตร์  มหาวิทยาลัยมหิดล,2
ภาควิชาเคมี คณะวิทยาสาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,2
สาขาวิชาศิลปศึกษา คณะครุศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,2
ฟาร์มกุ้งก้ามแดง ต.หนองไข่น้ำ อ.เมือง จ.นครราชสีมา,2
โรงเรียนมารีย์วิทยา จ.นครราชสีมา,2
บ้านเลขที่ ม.8 ต.สองสลึง อ.แกลง จ.ระยอง,2
เทพศิริฟาร์ม ต.ท่าช้าง อ.สว่างวีระวงศ์ จ.อุบลราชธานี,2
เกษตรกรผู้เลี้ยงโค ม.4 ต.บางหมาก อ.เมือง จ.ชุมพร,2
ฟาร์มปูนิ่ม ต.ปากพูน อ.เมือง จ.นครศรีธรรมราช,2
ฟาร์มลุงเติม จักราช บ้านตูม ต.บ้านตูมราษฎร์บูรณะ อ.จักราช จ.นครราชสีมา,2
เกษตรกรแห่งบ้านสวนปิรามิด ต.เวียงชัย อ.เวียงชัย จ.เชียงราย,2
สำนักงานเกษตรและสหกรณ์จังหวัดอ่างทอง,2
สภาเกษตรกรจังหวัดชุมพร,2
สำนักงานจังหวัดสมุทรสงคราม,2
องค์การบริหารส่วนตำบลเมืองปอน,2
ภาควิชาการแนะแนวและจิตวิทยาการศึกษา คณะศึกษาศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ,2
คณะสาธารณสุขศาสตร์ มหาวิทยาลัยขอนแก่น,2
คณะวิศวกรรมศาสตร์  มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,2
Centre of Excellence in Biodiversity and Natural Resources Management,2
ศูนย์การเรียนรู้ปราชญ์ชาวบ้าน  บ้านโพนฮาด ตำบลดงครั่งน้อย อำเภอเกษตรวิสัย จังหวัดร้อยเอ็ด,2
สวนวโรชา ต.ไผ่จำศีล อ.วิเศษชัยชาญ จ.อ่างทอง,2
บ้านยางโทน อำเภอไทรโยก จังหวัดกาญจนบุรี,2
มหาวิทยาลัยแม่โจ้ ชุมพร,2
"School of Bioresources, KMUTT, Bangkok, Thailand, 10150",2
คณะครุศาสตร์ มหาวิทยาลัยราชภัฏเชียงราย,2
ภาควิชาเภสัชวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล,2
หน่วยปฏิบัติการวิจัยอุปกรณ์รับรู้ (Sensor Research Unit) ภาควิชาเคมี คณะวิทยาศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย 254 ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพฯ 10330,2
อรุโณทัย พยัคฆพงษ์,2
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,2
วิทยาลัยราชสุดา มหาวิทยาลัยมหิดล,2
คณะวิศวกรรมศาสตร์ สาขาวิศวะกรรมคอมพิวเตอร์ มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วิทยาเขตศาลายา,2
เกษตรกร ต.ศรีถ้อย อ.แม่ใจ จ.พะเยา,2
เกษตรกร ต.แสนตุ้ง อ.เขาสมิง จ.ตราด,2
คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร พระราชวังสนามจันทร์,2
สวนองุ่นเบญจพร ต.กุดกว้าง อ.หนองเรือ จ.ขอนแก่น,2
สถานวิจัยเพื่อความเป็นเลิศทางวิชาการด้านเทคโนโลยีหลังการเก็บเกี่ยว ม.นเรศวร จ.พิษณุโลก,2
บริษัทแอดวานซ์ เอ็กซเชนจ์ เทคโนโลยีจำกัด,2
คณะดุริยางคศาสตร์ มหาวิทยาลัยศิลปากร   22 ถนนบรมราชชนนี เขตตลิ่งชัน กรุงเทพฯ 10170,2
ภาควิชาดุริยางคศิลป์ คณะศิลปกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,2
ภาควิชารังสีประยุกต์และไอโซโทป คณะวิทยาศาสตร์มหาวิทยาลัยเกษตรศาสตร์ 50 แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900 โทรศัพท์ 02 562 5444 ต่อ 1211,2
มหาวิทยาลัยธุรกิจบัณฑิต,2
รพ.จอห์น ฮอพกินส์,2
มหาวิทยาลัยธนบุรี,2
คณะสาธารณสุขศาสตร์ ม.นเรศวร,2
โรงเรียนสุราษฎร์ธานี จ.สุราษฎร์ธานี,2
ศูนย์วิทยาศาสตร์การแพทย์ที่ 10 อุบลราชธานี,2
สำนักงานสาธารณสุขจังหวัดแพร่,2
สำนักส่งเสริมและฝึกอบรม กำแพงแสน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน จังหวัดนครปฐม,2
ภาควิชาวิศวกรรมไฟฟ้าและคอมพิวเตอร์ คณะวิศวกรรมศาสตร์  มหาวิทยาลัยธรรมศาสตร์ศูนย์รังสิต,2
มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ 7/1 ถ.นนทบุรี 1 ต.สวนใหญ่ อ.เมือง จ.นนทบุรี 11000,2
ภาควิชาเทคโนโลยีการศึกษา คณะศึกษาศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,2
ภาควิชาวิศวกรรมโทรคมนาคม คณะวิศวกรรมศาสตร์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้า คุณทหารลาดกระบัง,2
คณะเทคโนโลยีการประมงและทรัพยากรทางน้ำ มหาวิทยาลัยแม่โจ้ 63 หมู่ 4 ต.หนองหาร อ.สันทราย จ.เชียงใหม่ 50290,2
สวนบุญพาศิริ เลขที่ 16/1 ม.11 ต.บางระจัน อ.ค่ายบางระจัน จ.สิงห์บุรี,2
หมู่ที่ 8 ต.ท่าข้าม อ.ค่ายบางระจัน จ.สิงห์บุรี,2
ศูนย์เรียนรู้เศรษฐกิจพอเพียงบ้านศรีวิไล ม.8 ต.มหาชัย อ.ไทรงาม จ.กำแพงเพชร,2
บ้านพะงุ้น หมู่ 2 ต.ครน อ.สวี จ.ชุมพร,2
บ้านหนองเม็ก ต.ช่องเม็ก อ.สิรินธร จ.อุบลราชธานี,2
หมู่ที่ 8 ตำบลบุดี อำเภอเมือง จังหวัดยะลา,2
บ้านโนนยาง ตำบลกำแมด อำเภอกุดชุม จังหวัดยโสธร,2
บ้านไอร์แยง 2 ม.2 ต.ศรีบรรพต อ.ศรีสาคร จ.นราธิวาส,2
ตำบลสองสลึง อำเภอแกลง จังหวัดระยอง,2
หมู่ที่ 2 ชุมชนบ้านหนองไม้แก่น ตำบลเชียรเขา อำเภอเฉลิมพระเกียรติ จังหวัดนครศรีธรรมราช,2
สาขาวิชาศิลปศึกษา ภาควิชาหลักสูตรการสอน และการเรียนรู้ คณะศึกษาศาสตร์ มหาวิทยาลัยเชียงใหม่,2
เกษตรกร อ.บ้านผือ จ.อุดรธานี,2
เกษตรกรในพื้นที่โครงการพัฒนาพื้นที่ลุ่มน้ำปากพนังอันเนื่องมาจากพระราชดำริ,2
เกษตรกรผู้ปลูกผักบ้านม่วงงาม อ.สรรคบุรี จ.ชัยนาท,2
เกษตรกร อ.ตาคลี จ.นครสวรรค์,2
มหวิทยาลัยเกษตรศาสตร์,2
ศูนย์วิจัยและพัฒนาการเกษตรยโสธร สำนักวิจัยและพัฒนาการเกษตรเขตที่ 4 กรมวิชาการเกษตร,2
43/1 หมู่ที่ 8 ตำบลท่าวังตาล อำเภอสารภี จังหวัดเชียงใหม่ 50140,2
คณะสถาปัตยกรรมศาสตร์และการออกแบบ มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,2
ภาควิชาวิทยาศาสตรNทั่วไป สาขาอัญมณีและเครื่องประดับ คณะวิทยาศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ 114 ถ.สุขุมวิท ซอย 23 เขตวัฒนา กรุงเทพฯ 10110 โทรศัพทN 02-6495000 ต่อ 18652 e-mail : mo_duangkhae@hotmail.com,2
ภาควิชาฟิสิกส์และวัสดุศาสตร์ คณะวิทยาศาสตร์ มหาวิทยาลัยเชียงใหม่ 239 ถนนห้วยแก้ว ต.สุเทพ อ.เมือง จ.เชียงใหม่ 52000 โทรศัพท์: 053 943376 E-mail: kpengpat@gmail.com,2
ภาควิชาวิทยาศาสตร์และเทคโนโลยีอาหาร คณะอุตสาหกรรมเกษตร มหาวิทยาลัยสงขลานครินทร์,2
สำนักงานคณะกรรมการการอาชีวศึกษา (วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช),2
คณะวิศวกรรมศาสตร์  มหาวิทยาลัยเทคโนโลยีราชมงคล,2
คณะพลังงานสิ่งแวดล้อมและวัสดุ  มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,2
75/199  ซอย โชคอนันต์  ถนน นิพัทธ์สงเคราะห์ 4  อ.หาดใหญ่ จ.สงขลา 90110,2
ศูนย์นวัตกรรมโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย คณะครุศาสตร์จุฬาลงกรณ์มหาวิทยาลัย,2
ภาควิชาวิศวกรรมโทรคมนาคม คณะวิศวกรรมศาสตร์ สถาบันเทคโนโลยีพระจอมเก้าเจ้าคุณทหารลาดกระบัง,2
วิทยาลัยเทคนิคลำพูน สำนักงานคณะกรรมการการอาชีวศึกษา กระทรวงศึกษาธิการ,2
มูลนิธิเสฐียรโกเศศ-นาคะประทีป,2
โรงพยาบาลจุฬาลงกรณ์,2
คณะสังคมสงเคราะห์ศาสตร์  มหาวิทยาลัยธรรมศาสตร์,2
Centre for Educational Sociology. University of Edinburgh.,2
คณะศิลปศาสตร์  มหาวิทยาลัยพะเยา,2
โรงเรียนนายร้อยพระจุลจอมเกล้า,2
หน่วยบัญชาการทหารพัฒนา กองบัญชาการกองทัพไทย,2
คณะเกษตรศาสตร์ สาขาวิชาวิทยาศาสตร์การประมง มหาวิทยาลัยนเรศวร,2
สำนักวิชาสหเวชศาสตร์และสาธารณสุขศาสตร์  มหาวิทยาลัยวลัยลักษณ์  222 ตำบลไทยบุรี อำเภอท่าศาลา จังหวัดนครศรีธรรมราช 80161,2
สวนทุเรียน อ.ทองผาภูมิ จ.กาญจนบุรี,2
เกษตรกร อ. สุวรรณภูมิ จ.ร้อยเอ็ด,2
เกษตรกร อ.พนมทวน จ.กาญจนบุรี,2
https://www.youtube.com/watch?v=N24U2YrHf5s,2
เกษตรกร อ.ห้วยแถลง จ.นครราชสีมา,2
ภาควิชาพืชสวน มหาวิทยาลัยเกษตรศาสตร์ กรุงเทพฯ,2
"ภาควิชาวิศวกรรมสุขาภิบาล, คณะสาธารณสุขศาสตร์, มหาวิทยาลัยมหิดล",2
คณะสถาปัตยกรรมศาสตร์ ภาควิชาศิลปกรรม สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2
กองบัญชาการกองทัพไทย,2
ศูนย์วิจัยสัตว์ทดลอง มหาวิทยาลัยพะเยา,2
เกษตรกร อ.ตะพานหิน จ.พิจิตร,2
เกษตรกรบ้านหนองปรือน้อย ต.สวายจิก อ.เมืองบุรีรัมย์ จ.บุรีรัมย์,2
แผนกช่างไฟฟ้า วิทยาลัยเทคนิคสุพรรณบุรี,2
โรงเรียนจิตราวิทยา,2
ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติ  สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,2
บ้านกุดปลาเข็ง ต.โนนค่า อ.สูงเนิน จ.นครราชสีมา,2
อ.หล่มสัก จ.เพชรบูรณ์,2
บ้านหนองเสือ หมู่ที่ 7 ต.หนองทุ่ม อ.วาปีปทุม จ.มหาสารคาม,2
คณะเกษตรศาสตร์ฯ มหาวิทยาลัยนเรศวร,2
คระเกษตรศาสตร์ ทรัพยากรธรรมชาติและสิ่งแวดล้อม มหาวิทยาลัยนเรศวร,2
"คณะสิ่งแวดล้อมและทรัพยากรศาสตร์, มหาวิทยาลัยมหิดล , 999 ถนนพุทธมณฑล สาย 4, ศาลายา, พุทธมณฑล,นครปฐม 73170",2
อาคารชุดเรวดีเพลส 39/388 ห้อง 806 ชั้น 8 หมู่ 1 ซอยเรวดี 14 ถนนเรวดี ตำบลตลาดขวัญ อำเภอเมือง จังหวัดนนทบุรี 11000,2
Medical Microbiology Interdisciplinary Program,2
สายวิชาเทคนิคการแพทย์ คณะเทคนิคการแพทย์ มหาวิทยาลัยขอนแก่น อ.เมือง จ. ขอนแก่น 40002 e-mail : jurpoo@kku.ac.th,2
ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ หน่วยวิจัยเทคโนโลยีการตรวจวินิจฉัยทางชีวภาพ ห้องปฏิบัติการเทคโนโลยีวิศวกรรมชีวภาพและการตรวจวัด 113 อุทยานวิทยาศาสตร์ประเทศไทย  ถ. พหลโยธิน ต. คลองหนึ่ง อ. คลองหลวง จ. ปทุมธานี 12120,2
หน่วยปฏิบัติการวิจัยนาโนอิเล็กทรอนิกส์และเครื่องกลจุลภาค ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ 02-564-6900 ต่อ 2110/02-564-6756 anurat.wisitsoraat@nectec.or.th,2
วิทยาลัยสินธนาบริหารธุรกิจ,2
คณะมนุษยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,2
เกษตรกร อ.ศรีมหาโพธิ จ.ปราจีนบุรี,2
ผู้เลี้ยงปูนา ต.โพทะเล อ.ค่ายบางระจัน จ.สิงห์บุรี,2
เกษตรกร อ.เก้าเลี้ยว จ.นครสวรรค์,2
เกษตรกรสวนมะเขือเทศเชอร์รี่ จ.สุพรรณบุรี,2
สาขาวิชาการจัดการการท่องเที่ยว  คณะบริหารธุรกิจ เศรษฐศาสตร์และการสื่อสาร ม.นเรศวร,2
บ้านทับเกวียนทอง ต.บึงบัว อ.วชิรบารมี จ.พิจิตร,2
สวนผักฮักมี อำเภอพร้าว จังหวัดเชียงใหม่,2
ตำบลโพชนไก่ อำเภอบางระจัน จังหวัดสิงห์บุรี,2
เกษตรกรเพาะเห็ดแครง ต.นาไม้ไผ่ อ.ทุ่งสง จ .นครศรีธรรมราช,2
ตำบลแหลมบัว อำเภอนครชัยศรี จังหวัดนครปฐม,2
บ้านท่าสะแล ต.เวียง อ.ฝาง จ.เชียงใหม่,2
บ้านเหล่ากล้วย ตำบลเสอเพลอ อำเภอกุมภวาปี จังหวัดอุดรธานี,2
อ.กันทรลักษ์ จ.ศรีสะเกษ,2
ต.พิชัย อ.เมือง จ.ลำปาง,2
สาขาวิทยาศาสตร์และเทคโนโลยีการอาหาร คณะวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยราชภัฎบ้านสมเด็จเจ้าพระยา,2
วิทยาลัยโพธิวิชชาลัย มหาวิทยาลัยศรีนครินทรวิโรฒ,2
สำนักศิลปะและวัฒนธรรม มหาวิทยาลัยราชภัฎกำแพงเพชร,2
"วิทยาลัยเกษตรและเทคโนโลยีศูนย์ศิลปาชีพบางไทร, นิคมเกษตรกรคนพิการบางไทร",2
"มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร, ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร, สมาพันธ์นักวิจัยชุมชน จังหวัดปทุมธานี",2
ภาควิชาศิลปะการแสดง คณะศิลปกรรมศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ ประสานมิตร,2
ศูนย์เทคโนโลยีโลหะหรือเอ็มเทค/มูลนิธิโครงการหลวง,2
คณะบริหารธุรกิจเศรษฐศาสตร์และการสื่อสาร มหาวิทยาลัยนเรศวร,2
โรงเรียนสิชลประชาสรรค์ สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 12,2
เกษตรกรบ้านหนองหว้า อ.พนมสารคาม จ.ฉะเชิงเทรา,2
คณะสถาปัตยกรรมศาสต์และการออกแบบสิ่งแวดล้อม มหาวิทยาลัยแม่โจ้,2
อำเภอเมือง จังหวัดพิษณุโลก,2
"""คุ้มสังฆทาน"" เลขที่ 245 หมู่ 4 ต.คลองคะเชนทร์ อ.เมือง จ.พิจิตร",2
ศูนย์กสิกรรมธรรมชาติไร้สารพิษวังน้ำเขียว ต.น้ำซับ อ.วังน้ำเขียว จ.นครราชสีมา,2
ภาควิชาวิศวกรรมอุตสาหการ คณะวิศวกรรมศาสตร์ มหาวิทยาลัยมหิดล ศาลายา จ.นครปฐม,2
ศูนย์เรียนรู้เศรษฐกิจพอเพียง อ.บ้านไผ่ จ.ขอนแก่น,2
สวนบ้านภูระวี หมู่ที่ 7 ต.หนองทุ่ม อ.วาปีปทุม จ.มหาสารคาม,2
เกษตรกร ต.ทุ่งคา อ.เมือง จ.ชุมพร,2
"สาขาวิชาสัตวศาสตร์ คณะเกษตรศาสตร์ มหาวิทยาลัยราชภัฎอุบลราชธานี, ภาควิชาสัตวศาสตร์ คณะเกษตรศาสตร์ มหาวิทยาลัยอุบลราชธานี, ศูนย์วิจัยและพัฒนาทรัพยากรอาหารสัตว์เขตร้อน ภาควิชาสัตวศาสตร์ คณะเกษตรศาสตร์ มหาวิทยาลัยขอนแก่น",2
"ภาควิชาวิศวกรรมการวัดและควบคุม คณะวิศวกรรมศาสตร์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, บริษัท อองกา อาทฟูล ไลท์ (ONGA Artful Light Co.,Ltd)",2
สาขาวิชาทัศนศิลป์ คณะศิลปกรรมศาสตร์ มหาวิทยาลัยมหาสารคาม,2
全国地质资料馆,2
Desert Botanical Garden Herbarium,2
คณะวิศวกรรมศาสตร์(หลักสูตรนานาชาติ) จุฬาลงกรณ์มหาวิทยาลัย,2
ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,2
วนเกษตรเขาฉกรรจ์ จ.สระแก้ว,2
บ้านสวนเติมฝัน หมู่ 7 ต.คลองเปียะ อ.จะนะ จ.สงขลา,2
สวรรค์บ้านนา อ.หนองบัว จ.นครสวรรค์,2
ต.หนองเป็ด อ.ศรีสวัสดิ์ จ.กาญจนบุรี,2
สำนักงานอัยการสูงสุด,2
สำนักงานบริหารจัดการทรัพย์สินทางปัญญา มหาวิทยาลัยขอนแก่น,2
คณะวิศวกรรมศาสตร์ มหาวิทยาลัยมหาสารคาม,2
อุทยานวิทยาศาสตร์  มหาวิทยาลัยสงขลานครินทร์,2
"Department of Marine Science, Faculty of Fisheries, Kasetsart University, Chatuchak, Bangkok 10900 Thailand",2
คณะสหเวชศาสตร์ มหาวิทยาลัยพะเยา 19 หมู่ 2 ตำบลแม่กา อำเภอเมือง จังหวัดพะเยา,2
สาขาพืชศาสตร์ คณะเกษตรและเทคโนโลยี มหาวิทยาลัยนครพนม,2
บ้านสันสะลีก หมู่ที่ 1 ต.เม็งราย  อ.พญาเม็งราย จ.เชียงราย,2
บ้านบึง ต.หมูม่น อ.สมเด็จ จ.กาฬสินธุ์,2
ตำบลนาภู อำเภอยางสีสุราช จังหวัดมหาสารคาม,2
